Site_ID;Source_ID;source_site_ID;unit_ID;sample_ID;Ware;Sherd number;Fragment type;Shape;Type;Decoration;Diameter_cm;Drawn and described;Fabric;Extra;Ware (code);Number;Notes
15153;NE12;NE12_15153;;;black glazed;Net'07 N.S.1/G.S./06;Base fragment;Skyphos;;;;TRUE;;Fragment of a skyphos, possibly Morel (1981), Pl.131, Skyphos type 4373;;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 GT_2007_01/G.S./08;Rim fragment;Pan;Olcese Pentola type 4;;24;TRUE;;;;1;
15153;NE12;NE12_15153;;;depurated ware;Net'08 GT_2007_01/G.S./12;Rim fragment;Pan;;;20;TRUE;;;;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 GT_2007_01/G.S./57;Rim fragment;Lid;Olcese Coperchio type 1;;19;TRUE;;;;1;
15153;NE12;NE12_15153;;;african cooking ware;Net'07 GT_2007_01/G.S./03;Rim fragment;Lid;Hayes form 196;;22;TRUE;;;;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 GT_2007_01/G.S./14;Rim fragment;Lid;;;17;TRUE;;"Dyson (1976), fig.23, V-D70; Ricci (1985), p.243, TAV.65.23; Carandini et al. (2007), tav.43, nr.405; Vegas, fig.17.6/18.4";;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 GT_2007_01/G.S./38A;Rim fragment;Lid;;;29;TRUE;;"Dyson (1976), fig.23, V-D70; Ricci (1985), p.243, TAV.65.23; Carandini et al. (2007), tav.43, nr.405; Vegas, fig.17.6/18.4";;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 GT_2007_01/G.S./43A;Rim fragment;Lid;;;30;TRUE;;"Dyson (1976), fig.23, V-D70; Ricci (1985), p.243, TAV.65.23; Carandini et al. (2007), tav.43, nr.405; Vegas, fig.17.6/18.4";;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 GT_2007_01/G.S./63;Rim fragment;Lid;;;20;TRUE;;"Dyson (1976), fig.23, V-D70; Ricci (1985), p.243, TAV.65.23; Carandini et al. (2007), tav.43, nr.405; Vegas, fig.17.6/18.4";;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 N.S.1/G.S./14;Rim fragment;Lid;;;22;TRUE;;Dyson (1976), fig.16, 16IV58;;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 GT_2007_01/G.S./47;Rim fragment;Lid;;;20;TRUE;;Di Mario (2005), TAV.V, nr.33;;1;
15153;NE12;NE12_15153;;;coarse ware;Net'07 GT_2007_01/G.S./16;Rim fragment;Lid;;;;FALSE;;;;1;
