Site_ID;sample_ID;function;shape;raw_material;ware;ceramic_fabric;Code_orig;notes;N_total;Weight;condition_orig;N_selected;
15034;3427601;Architecture;Tile;Clay;depurated ware;;3c;-;8;205;very worn;0;
15034;3427601;Architecture;;Clay;chiaro sabbioso;;3b;varying amounts of augite;26;1080;worn;0;
15034;3427901;Architecture;Tile;Clay;depurated ware;;3c;-;1;135;very worn;0;
15034;3427901;Architecture;;Clay;chiaro sabbioso;;3b;-;2;50;very worn;0;
15034;3916801;Architecture;;Clay;;;3a-d;Some augite inclusions, white/pink;3;22;;0;
15034;3916901;Architecture;;Clay;;;3a-d;Brown augite;1;34;;0;
15034;3917001;Architecture;;Clay;;;3a-d;White, some augite;1;1;;0;
15034;3917101;Architecture;;Clay;;;3a-d;Wall fragments, 1x pink, 1x white, all augite;3;31;;0;
15034;3917201;Architecture;;Clay;;;3a-d;Augite white/pink;10;92;;0;
15034;3917301;Architecture;;Clay;;;3a-d;Augite white/pink;10;145;;0;
15034;3917401;Architecture;;Clay;;;3a-d;Augite white/pink;5;176;;0;
15034;3917501;Architecture;;Clay;;;3a-d;"2x orange augite; 1x pale depurated";3;15;;0;
15034;3917601;Architecture;;Clay;;;3a-d;Pink augite tile;4;9;;0;
15034;3917701;Architecture;;Clay;;;3a-d;Brown augite;3;72;;0;
15034;3917801;Architecture;;Clay;;;3a-d;"Tile and imbrex; pink/white + 1x yellow augite tile";15;754;;0;
15034;3917901;Architecture;;Clay;;;3a-d;"1x pale depurated; 1x brown augite";2;81;;0;
15034;3918001;Architecture;;Clay;;;3a-d;Augite white;2;4;;0;
15034;3918101;Architecture;;Clay;;;3a-d;"Tile fragments; pink/white augite";4;17;;0;
15034;3918201;Architecture;;Clay;;;3a-d;White/pink;14;87;;0;
15034;3918301;Architecture;;Clay;;;3a-d;White/pink augite;17;364;;0;
15034;3918401;Architecture;;Clay;;;3a-d;Orange/pink/white;15;192;;0;
15034;3918501;Architecture;;Clay;;;3a-d;2x brown augite;2;33;;0;
15034;3918601;Architecture;;Clay;;;3a-d;Depurated;2;1;;0;
15034;3918701;Architecture;;Clay;;;3a-d;Pale augite;6;34;;0;
15034;3918801;Architecture;;Clay;;;3a-d;Augite white/pink;11;133;;0;
15034;3919001;Architecture;;Clay;;;3a-d;Augite white/pink;9;101;;0;
15034;3919101;Architecture;;Clay;;;3a-d;Augite white;2;17;;0;
15034;3919201;Architecture;;Clay;;;3a-d;Pink/orange/white augite;16;386;;0;
15034;3919301;Architecture;;Clay;;;3a-d;"Augite types; 1x grey core with orange surface; white coating";18;434;;0;
15034;3919401;Architecture;;Clay;;;3a-d;White/pink/orange;18;339;;0;
15034;3919501;Architecture;;Clay;;;3a-d;All augite tile;6;344;;0;
15034;3919601;Architecture;;Clay;;;3a-d;Brown/pink/pale augite;11;256;;0;
15034;3919701;Architecture;;Clay;;;3a-d;Pale/brown augite;9;52;;0;
15034;3919801;Architecture;;Clay;;;3a-d;Augite white;7;69;;0;
15034;3919901;Architecture;;Clay;;;3a-d;Augite brown;3;29;;0;
15034;3920001;Architecture;;Clay;;;3a-d;3x augite pale;3;11;;0;
15034;3920101;Architecture;;Clay;;;3a-d;Augite white;3;89;;0;
15034;3920201;Architecture;;Clay;;;3a-d;Augite white;6;44;;0;
15034;3920301;Architecture;;Clay;;;3a-d;Augite white/pink;35;842;;0;
15034;3920401;Architecture;;Clay;;;3a-d;Augite white/pink;52;1639;;0;
15034;3920501;Architecture;;Clay;;;3a-d;Augite white/pink/pale;50;923;;0;
15034;3920601;Architecture;;Clay;;;3a-d;All pale/brown/pink augite;11;369;;0;
15034;3920701;Architecture;;Clay;;;3a-d;Pink/brown/pale augite;14;353;;0;
15034;3920801;Architecture;;Clay;;;3a-d;3x augite pink;3;33;;0;
15034;3920901;Architecture;;Clay;;;3a-d;"White; 1x grey, some yellow augite tile";19;228;;0;
15034;3921001;Architecture;;Clay;;;3a-d;All augite tile;5;143;;0;
15034;3921101;Architecture;;Clay;;;3a-d;"1x pink augite; 1x depurated pale";2;29;;0;
15034;3921201;Architecture;;Clay;;;3a-d;Pink+grey augite tile;5;136;;0;
15034;3921301;Architecture;;Clay;;;3a-d;Augite white+brown;15;214;;0;
15034;3921401;Architecture;;Clay;;;3a-d;Augite white, pink;42;1505;;0;
15034;3921501;Architecture;;Clay;;;3a-d;Augite pink/orange/white;65;1582;;0;
15034;3921601;Architecture;;Clay;;;3a-d;Augite pale/white/pink;64;1842;;0;
15034;3921701;Architecture;;Clay;;;3a-d;All augite pink/pale/brown;37;1449;;0;
15034;3921801;Architecture;;Clay;;;3a-d;All augite tile;10;428;;0;
15034;3921801;Architecture;;Clay;;;3a-d;"Mainly pale/brown augite; 1x burnt? - grey augite";5;217;;0;
15034;3922001;Architecture;;Clay;;;3a-d;Brown/pink/white augite;13;367;;0;
15034;3922101;Architecture;;Clay;;;3a-d;Pink/brown augite;4;20;;0;
15034;3922201;Architecture;;Clay;;;3a-d;White augite;5;71;;0;
15034;3922301;Architecture;;Clay;;;3a-d;Augite white/pink;11;203;;0;
15034;3922401;Architecture;;Clay;;;3a-d;Augite pale/pink/orange/white;43;1076;;0;
15034;3922501;Architecture;;Clay;;;3a-d;Pink/white augite;35;1531;;0;
15034;3922601;Architecture;;Clay;;;3a-d;Augite pale/white/pink/orange;62;2352;;0;
15034;3922701;Architecture;;Clay;;;3a-d;Pink/pale/brown augite;38;1007;;0;
15034;3922801;Architecture;;Clay;;;3a-d;All augite tile;15;647;;0;
15034;3922901;Architecture;;Clay;;;3a-d;Pink/pale augite;3;180;;0;
