Source_ID;source_site_ID;unit_ID;sample_ID;Ware;Sherd number;Fragment type;Shape;Type;Decoration;Diameter_cm;Drawn and described;Fabric;Extra;Ware (code);Number;Notes
MC12;MC12_site_10;102220;10222001;pareti sottili;102220/01/02;Rim fragment;;;;11;TRUE;;;;1;
MC12;MC12_site_10;102223;10222302;pareti sottili;102223/02/01;Rim fragment;Cup;;;6;TRUE;;;;1;
MC12;MC12_site_10;102223;10222302;pareti sottili;102223/02/02;Rim fragment;Cup;;;10;FALSE;;;;1;
MC12;MC12_site_10;102218;10221801;depurated ware;102218/01/01;Handle fragment;Amphora;;;;FALSE;;;;1;
MC12;MC12_site_10;102220;10222002;depurated ware;102220/02/01A;Rim fragment;;;;8;TRUE;;;;1;
MC12;MC12_site_10;102224;10222402;coarse ware;102224/02/02;Rim fragment;Amphora;Van der Werff 3;;17;TRUE;;;;1;
MC12;MC12_site_10;102226;10222602;coarse ware;102226/02/03;Rim fragment;Pan;Olcese Tegame type 3;;19;FALSE;;;;1;
MC12;MC12_site_10;102221;10222101;coarse ware;102221/01/01;Rim fragment;Pan;Olcese Tegame type 1;;20;FALSE;;;;1;
MC12;MC12_site_10;102216;10221602;coarse ware;102216/02/02;Rim fragment;Jar;Olcese Olla type 3a;;15;FALSE;;;;1;
MC12;MC12_site_10;102216;10221602;coarse ware;102216/02/06;Rim fragment;Jar;Olcese Olla type 2;;13;FALSE;;;;1;
MC12;MC12_site_10;102216;10221602;coarse ware;102216/02/07;Rim fragment;Jar;Olcese Olla type 2;;;FALSE;;;;1;
MC12;MC12_site_10;102216;10221602;coarse ware;102216/02/08;Rim fragment;Jar;Olcese Olla type 2;;16;FALSE;;;;1;
MC12;MC12_site_10;102216;10221602;coarse ware;102216/02/09;Rim fragment;Jar;Olcese Olla type 2;;16;FALSE;;;;1;
MC12;MC12_site_10;102226;10222602;coarse ware;102226/02/01;Rim fragment;Jar;Olcese Olla type 2;;20;FALSE;;;;1;
MC12;MC12_site_10;102227;10222702;coarse ware;102227/02/02;Rim fragment;Jar;Olcese Olla type 2;;20;FALSE;;;;1;
MC12;MC12_site_10;102225;10222501;coarse ware;102225/01/01;Rim fragment;Lid;Olcese Coperchio type 3;;30;FALSE;;;;1;
MC12;MC12_site_10;102222;10222202;coarse ware;102222/02/01;Rim fragment;Lid;Olcese Coperchio type 1;;20;FALSE;;;;1;
MC12;MC12_site_10;102227;10222702;coarse ware;102227/02/01;Rim fragment;Lid;Olcese Coperchio type 1;;;FALSE;;;;1;
MC12;MC12_site_10;102216;10221601;coarse ware;102216/01/02;Rim fragment;Amphora;Dressel 1B;;20;FALSE;;;;1;
MC12;MC12_site_10;102220;10222002;coarse ware;102220/02/03;Rim fragment;Amphora;Dressel 1B;;;FALSE;;;;1;
MC12;MC12_site_10;102216;10221601;coarse ware;102216/01/01;Rim fragment;;;;13;TRUE;;;;1;
MC12;MC12_site_10;102216;10221602;coarse ware;102216/02/03;Rim fragment;Lid;;;22;FALSE;;;;1;
MC12;MC12_site_10;102216;10221602;coarse ware;102216/02/04;Rim fragment;Lid;;;17;FALSE;;;;1;
MC12;MC12_site_10;102216;10221602;coarse ware;102216/02/10;Handle fragment;Amphora;;;;FALSE;;;;1;
