Site_ID;sample_ID;function;shape;ware;ceramic_fabric;Code_orig;raw_material;notes;N_total;Weight;condition_orig;N_selected
14002;10218601;Architecture;Tile;chiaro sabbioso;white augite;3b3;Clay;;2;38;;0
14002;10218601;Architecture;Tile;coarse ware;;3d;Clay;;1;135;;0
14002;10218601;Transport;Amphora;coarse ware;;4c3;Clay;;4;77;;0
14002;10218601;Kitchen Ware;;coarse ware;red augite;2a2;Clay;;3;12;;0
14002;10218601;Transport;Amphora;depurated ware;;4c2;Clay;;1;11;;0
14002;10218602;Architecture;Tile;chiaro sabbioso;brown augite;3b3;Clay;;1;3;;0
14002;10218602;Storage;Dolium;chiaro sabbioso;brown augite;4a2;Clay;;1;45;;0
14002;10218602;Kitchen Ware;;coarse ware;;4b2;Clay;;1;31;;0
14002;10218602;Transport;Amphora;depurated ware;;4c2;Clay;small part of handle;1;25;;0
14002;10218602;Indet;;depurated ware;;4d2;Clay;;3;11;;0
14002;10218701;Table Ware;;black glazed;;4e;Clay;;2;2;;0
14002;10218701;Architecture;Tile;chiaro sabbioso;white augite;3b3;Clay;;2;48;;0
14002;10218701;Architecture;Tile;chiaro sabbioso;orange augite;3b3;Clay;;1;107;;0
14002;10218701;Architecture;Tile;chiaro sabbioso;brown augite;3b3;Clay;;11;424;;0
14002;10218701;Indet;;chiaro sabbioso;brown augite;4a2;Clay;;1;16;;0
14002;10218701;Kitchen Ware;Lid;coarse ware;red augite;2a2;Clay;;3;22;;3
14002;10218701;Kitchen Ware;Lid;coarse ware;red augite;2a2;Clay;1x knob;1;26;;1
14002;10218701;Kitchen Ware;;coarse ware;red augite;2a2;Clay;;8;45;;0
14002;10218701;Indet;;depurated ware;;4d2;Clay;;5;16;;0
14002;10218701;Indet;;depurated ware;;4d1;Clay;;7;6;;0
14002;10218702;Table Ware;Skyphos;black glazed;;4e;Clay;;1;3;;1
14002;10218702;Table Ware;;black glazed;;4e;Clay;;3;17;;0
14002;10218702;Kitchen Ware;Jar;coarse ware;red augite;2a2;Clay;;2;11;;2
14002;10218702;Transport;Amphora;coarse ware;;4c3;Clay;;3;163;;2
14002;10218702;Kitchen Ware;;coarse ware;red augite;2a2;Clay;;2;15;;0
14002;10218702;Kitchen Ware;Basin;depurated ware;;4d2;Clay;;1;25;;1
14002;10218702;Indet;;depurated ware;;4d2;Clay;;1;5;;0
14002;10218801;Architecture;Tile;chiaro sabbioso;white augite;3b3;Clay;;10;261;;0
14002;10218801;Kitchen Ware;Lid;coarse ware;red augite;2a2;Clay;1x knob;2;7;;2
14002;10218801;Kitchen Ware;Jar;coarse ware;red augite;2a2;Clay;;1;2;;1
14002;10218801;Transport;Amphora;coarse ware;;4c3;Clay;;1;17;;0
14002;10218801;Indet;;coarse ware;;4b2;Clay;;4;14;;0
14002;10218801;Indet;;coarse ware;;4b1;Clay;;1;3;;0
14002;10218801;Kitchen Ware;;coarse ware;red augite;2a2;Clay;;6;31;;0
14002;10218801;Indet;;depurated ware;;4d2;Clay;;3;5;;0
14002;10218802;Table Ware;Bowl;black glazed;;4e;Clay;;1;2;;1
14002;10218802;Table Ware;;black glazed;;4e;Clay;;5;11;;0
14002;10218802;Architecture;Tile;chiaro sabbioso;white augite;3b3;Clay;;2;10;;0
14002;10218802;Kitchen Ware;Pan;coarse ware;;4b2;Clay;;1;3;;1
14002;10218802;Kitchen Ware;Jar;coarse ware;;4b2;Clay;;2;5;;2
14002;10218802;Kitchen Ware;Jar;coarse ware;;4b1;Clay;;1;1;;1
14002;10218802;Indet;;coarse ware;;4b2;Clay;;3;9;;0
14002;10218802;Indet;;coarse ware;;4b1;Clay;;4;2;;0
14002;10218802;Kitchen Ware;;coarse ware;red augite;2a2;Clay;;2;23;;2
14002;10218802;Transport;Amphora;depurated ware;;4c2;Clay;;3;68;;0
14002;10218802;Indet;;depurated ware;;4d2;Clay;;1;3;;0
14002;10218802;Indet;;depurated ware;;4d1;Clay;;2;1;;0
14002;10218901;Indet;;;;6;Clay;;2;14;;0
14002;10218901;Table Ware;Bowl;black glazed;;4e;Clay;;1;2;;0
14002;10218901;Table Ware;;black glazed;;4e;Clay;base stamped;4;5;;1
14002;10218901;Architecture;Tile;chiaro sabbioso;white augite;3b3;Clay;;2;10;;0
14002;10218901;Architecture;Tile;chiaro sabbioso;brown augite;3b3;Clay;;5;90;;0
14002;10218901;Kitchen Ware;Lid;coarse ware;;4b2;Clay;1x knob;1;12;;1
14002;10218901;Transport;Amphora;coarse ware;;4c3;Clay;;2;48;;0
14002;10218901;Indet;;coarse ware;;4b2;Clay;;4;10;;0
14002;10218901;Indet;;coarse ware;;4b1;Clay;;7;6;;0
14002;10218901;Kitchen Ware;;coarse ware;red augite;2a2;Clay;;4;10;;0
14002;10218901;Architecture;Tile;depurated ware;white augite;3c2;Clay;;1;33;;0
14002;10218901;Indet;;depurated ware;;4d2;Clay;;6;16;;0
14002;10218902;Table Ware;Bowl;black glazed;;4e;Clay;;2;5;;2
14002;10218902;Table Ware;;black glazed;;4e;Clay;;4;5;;0
14002;10218902;Kitchen Ware;Jar;coarse ware;;4b2;Clay;;4;11;;4
14002;10218902;Indet;;coarse ware;;4b2;Clay;;3;20;;0
14002;10218902;Indet;;coarse ware;;4b1;Clay;;2;3;;0
14002;10218902;Kitchen Ware;;coarse ware;red augite;2a2;Clay;;2;2;;1
14002;10219001;Table Ware;Skyphos;black glazed;;4e;Clay;;1;5;;1
14002;10219001;Table Ware;;black glazed;;4e;Clay;;1;2;;0
14002;10219001;Architecture;Tile;chiaro sabbioso;white augite;3b3;Clay;;1;34;;0
14002;10219001;Kitchen Ware;Lid;coarse ware;red augite;2a2;Clay;deformed flange;1;36;;1
14002;10219001;Indet;;coarse ware;;4b2;Clay;;4;24;;0
14002;10219001;Indet;;coarse ware;;4b1;Clay;;1;1;;0
14002;10219001;Kitchen Ware;;coarse ware;red augite;2a2;Clay;;3;7;;0
14002;10219001;Transport;Amphora;depurated ware;;4c2;Clay;;1;17;;0
14002;10219001;Indet;;depurated ware;;4d2;Clay;;4;8;;0
14002;10219001;Indet;;depurated ware;;4d1;Clay;;2;2;;0
14002;10219002;Table Ware;Bowl;black glazed;;4e;Clay;;1;5;;0
14002;10219002;Table Ware;;black glazed;;4e;Clay;;1;2;;0
14002;10219002;Kitchen Ware;Lid;coarse ware;red augite;2a2;Clay;1x knob;1;36;;1
14002;10219002;Kitchen Ware;Jar;coarse ware;;4b2;Clay;;1;5;;1
14002;10219002;Kitchen Ware;;coarse ware;;4b2;Clay;;2;9;;0
14002;10219101;Table Ware;;black glazed;;4e;Clay;;3;4;;0
14002;10219101;Transport;Amphora;coarse ware;;4c3;Clay;;4;42;;0
14002;10219101;Kitchen Ware;;coarse ware;;4b2;Clay;;1;7;;0
14002;10219101;Indet;;coarse ware;;4b2;Clay;;6;38;;0
